Risk,Fv/Fm,Growth,Ratio
3.7,0.453333333,0.07765,0.005373569
2.318,0.470333333,0.116533333,0.007095646
3.551,0.472166667,0.149766667,0.005783766
2.349,0.476833333,0.14875,1.004468758
2.323,0.484666667,0.176966667,0.008607588
2.359,0.4705,0.0998,0.005927932
3.632,0.493833333,0.052366667,0.035871273
3.713,0.472666667,0.145233333,0.019567313
0.9847,0.495333333,0.20655,0.83673316
3.637,0.465166667,0.165083333,0.008633165
1.007,0.4485,-0.018383333,0.005373569
0.9665,0.4555,0.0188,0.007095646
2.366,0.461166667,0.066366667,0.005783766
1.004,0.4675,0.11745,1.004468758
2.357,0.470666667,0.170183333,0.008607588
1.007,0.469,0.115,0.005927932
2.276,0.480333333,-0.076766667,0.035871273
0.9787,0.473666667,0.215083333,0.019567313
1.002,0.479,0.163133333,0.83673316
1.027,0.460333333,0.239516667,0.008633165
2.306,0.478166667,0.125216667,0.005373569
2.392,0.440666667,0.034216667,0.007095646
3.663,0.494,0.093633333,0.005783766
5.077,0.385333333,-0.02,1.004468758
0.9862,0.506333333,0.110516667,0.008607588
1.012,0.462333333,0.027033333,0.005927932
1.022,0.5055,0.088183333,0.035871273
1.038,0.524666667,0.092233333,0.019567313
4.95,0.502666667,0.1826,0.83673316
3.67,0.498,0.301566667,0.008633165
0.9932,0.487166667,0.115966667,0.005373569
0.9721,0.463,0.044333333,0.007095646
0.9836,0.506,0.134883333,0.005783766
0.9844,0.414833333,0.0504,1.004468758
2.284,0.512833333,0.155533333,0.008607588
0.9883,0.489833333,0.0916,0.005927932
1.056,0.489833333,0.141183333,0.035871273
2.341,0.533833333,0.160033333,0.019567313
1.007,0.525666667,0.29442,0.83673316
0.9744,0.504833333,0.329216667,0.008633165
